
Image Name                     PID Session Name        Session#    Mem Usage
amdow.exe                    10128 Console                    1      1,580 K
Wispr Flow.exe                5112 Console                    1    236,492 K
Wispr Flow.exe                7544 Console                    1     42,220 K
Wispr Flow.exe                9536 Console                    1    109,184 K
Wispr Flow.exe                7408 Console                    1     61,764 K
Wispr Flow.exe                9716 Console                    1    181,632 K
Wispr Flow.exe                9876 Console                    1    168,604 K
Wispr Flow.exe                9444 Console                    1    263,024 K
Wispr Flow.exe                7184 Console                    1    160,664 K
Wispr Flow Helper.exe        10268 Console                    1     56,852 K
conhost.exe                  10276 Console                    1      6,140 K
Wispr Flow.exe               10672 Console                    1     91,484 K
Wispr Flow.exe               10716 Console                    1     96,032 K
svchost.exe                  11256 Services                   0     15,980 K
yasb.exe                      8600 Console                    1    144,356 K
Raycast.exe                   4720 Console                    1    279,756 K
Raycast.UIAccess.exe         12316 Console                    1     18,792 K
node.exe                     12576 Console                    1    280,896 K
conhost.exe                  12596 Console                    1      6,340 K
msedgewebview2.exe           13292 Console                    1    116,136 K
msedgewebview2.exe           12256 Console                    1     12,248 K
msedgewebview2.exe           13352 Console                    1     90,408 K
msedgewebview2.exe           13360 Console                    1     37,144 K
msedgewebview2.exe           13400 Console                    1     20,784 K
msedgewebview2.exe           13576 Console                    1    169,360 K
RuntimeBroker.exe             6788 Console                    1      8,476 K
AUEPDU.exe                    9228 Services                   0     18,748 K
sppsvc.exe                   16008 Services                   0     12,728 K
svchost.exe                  15160 Services                   0     12,424 K
AMDRSSrcExt.exe              15864 Console                    1    119,516 K
Discord.exe                    240 Console                    1    171,024 K
Discord.exe                  13984 Console                    1     30,680 K
Discord.exe                   2204 Console                    1    130,132 K
Discord.exe                   1948 Console                    1     61,340 K
Discord.exe                   9352 Console                    1    502,132 K
Discord.exe                  10944 Console                    1     91,232 K
dllhost.exe                  16128 Console                    1     21,228 K
conhost.exe                  17004 Console                    1      6,704 K
opencode.exe                  8172 Console                    1    397,788 K
conhost.exe                   5592 Console                    1      6,712 K
opencode.exe                 17264 Console                    1    347,904 K
conhost.exe                  16276 Console                    1      6,712 K
opencode.exe                  3424 Console                    1    379,464 K
mcp-server-windows-x64.ex     5892 Console                    1      7,968 K
conhost.exe                  15200 Console                    1      6,544 K
WindowsTerminal.exe          14204 Console                    1    209,544 K
herdr.exe                     9944 Console                    1     69,068 K
OpenConsole.exe               6568 Console                    1     12,532 K
powershell.exe               15868 Console                    1     78,392 K
claude.exe                   12096 Console                    1    484,884 K
mcp-server-windows-x64.ex     9068 Console                    1      8,140 K
conhost.exe                  10920 Console                    1      6,596 K
cmd.exe                      21424 Console                    1      6,636 K
conhost.exe                  17512 Console                    1      9,600 K
OpenConsole.exe              19256 Console                    1     20,464 K
node.exe                     12404 Console                    1    149,744 K
cmd.exe                      18496 Console                    1      6,436 K
conhost.exe                  16100 Console                    1      9,536 K
OpenConsole.exe              21644 Console                    1     15,292 K
claude.exe                   18808 Console                    1    420,540 K
mcp-server-windows-x64.ex    17636 Console                    1      8,068 K
conhost.exe                   2856 Console                    1      6,736 K
OpenConsole.exe              19904 Console                    1     15,076 K
pwsh.exe                     20652 Console                    1    129,620 K
OpenConsole.exe              20400 Console                    1     12,032 K
powershell.exe               10924 Console                    1     72,812 K
cmd.exe                      21488 Console                    1      6,624 K
node.exe                      7612 Console                    1    101,924 K
herdr.exe                    20932 Console                    1     20,484 K
ApplicationFrameHost.exe     10360 Console                    1     47,848 K
OpenConsole.exe              11412 Console                    1     12,136 K
powershell.exe                8464 Console                    1     72,312 K
cmd.exe                      18040 Console                    1      6,636 K
node.exe                     19156 Console                    1    147,268 K
OpenConsole.exe              14932 Console                    1     12,168 K
powershell.exe               15268 Console                    1     72,504 K
cmd.exe                       7476 Console                    1      6,692 K
node.exe                      8516 Console                    1    144,520 K
OpenConsole.exe              16248 Console                    1     12,216 K
powershell.exe               11292 Console                    1     72,364 K
cmd.exe                      16196 Console                    1      6,704 K
node.exe                     10876 Console                    1    142,332 K
OpenConsole.exe               9184 Console                    1     12,204 K
powershell.exe               17476 Console                    1     72,368 K
cmd.exe                      11300 Console                    1      6,692 K
node.exe                     10864 Console                    1    130,196 K
svchost.exe                  22504 Services                   0      9,520 K
bash.exe                     16200 Console                    1      7,420 K
bash.exe                     16004 Console                    1     10,544 K
conhost.exe                  18488 Console                    1      6,956 K
sh.exe                       19408 Console                    1      9,748 K
tail.exe                     16760 Console                    1      5,296 K
node.exe                     21936 Console                    1     53,508 K
WmiPrvSE.exe                 18936 Services                   0     18,608 K
conhost.exe                   2280 Console                    1      7,196 K
bash.exe                     12652 Console                    1      7,608 K
bash.exe                     19808 Console                    1      7,576 K
sh.exe                       20304 Console                    1      9,636 K
node.exe                     12840 Console                    1     86,904 K
cmd.exe                      18764 Console                    1      6,752 K
head.exe                      3016 Console                    1      5,224 K
powershell.exe               20236 Console                    1     93,064 K
svchost.exe                  12284 Services                   0      9,596 K
node.exe                      6312 Console                    1     87,244 K
cmd.exe                       7548 Console                    1      6,628 K
node.exe                     19728 Console                    1     47,692 K
node.exe                     19296 Console                    1     93,656 K
bash.exe                     14980 Console                    1      7,716 K
conhost.exe                  16636 Console                    1      7,312 K
bash.exe                      5232 Console                    1     10,492 K
find.exe                     19264 Console                    1     10,884 K
head.exe                     18876 Console                    1      5,168 K
7za.exe                      10964 Console                    1    192,384 K
bash.exe                     21524 Console                    1      7,772 K
conhost.exe                  11316 Console                    1      7,360 K
bash.exe                     21708 Console                    1     10,552 K
bash.exe                     17132 Console                    1      7,872 K
powershell.exe               12328 Console                    1     67,356 K
head.exe                     20772 Console                    1      5,208 K
bash.exe                       244 Console                    1      7,772 K
conhost.exe                  13264 Console                    1      7,360 K
bash.exe                     19596 Console                    1     10,520 K
bash.exe                     11348 Console                    1      7,776 K
cmd.exe                      16712 Console                    1      4,840 K
powershell.exe               21260 Console                    1     43,360 K
conhost.exe                  12952 Console                    1      7,480 K
powershell.exe               20264 Console                    1     43,288 K
tasklist.exe                 12216 Console                    1     10,980 K
INFO: No tasks are running which match the specified criteria.
