
Image Name                     PID Session Name        Session#    Mem Usage
WindowsTerminal.exe          14204 Console                    1    209,636 K
herdr.exe                     9944 Console                    1     68,336 K
OpenConsole.exe               6568 Console                    1     12,552 K
powershell.exe               15868 Console                    1     78,408 K
claude.exe                   12096 Console                    1    486,772 K
mcp-server-windows-x64.ex     9068 Console                    1      8,140 K
conhost.exe                  10920 Console                    1      6,596 K
cmd.exe                      21424 Console                    1      6,636 K
conhost.exe                  17512 Console                    1      9,600 K
OpenConsole.exe              19256 Console                    1     20,480 K
node.exe                     12404 Console                    1    149,748 K
cmd.exe                      18496 Console                    1      6,436 K
conhost.exe                  16100 Console                    1      9,536 K
OpenConsole.exe              21644 Console                    1     15,308 K
claude.exe                   18808 Console                    1    420,424 K
mcp-server-windows-x64.ex    17636 Console                    1      8,068 K
conhost.exe                   2856 Console                    1      6,736 K
OpenConsole.exe              19904 Console                    1     15,092 K
pwsh.exe                     20652 Console                    1    129,620 K
OpenConsole.exe              20400 Console                    1     12,048 K
powershell.exe               10924 Console                    1     72,780 K
cmd.exe                      21488 Console                    1      6,624 K
node.exe                      7612 Console                    1    101,928 K
herdr.exe                    20932 Console                    1     20,488 K
ApplicationFrameHost.exe     10360 Console                    1     47,864 K
OpenConsole.exe              11412 Console                    1     12,152 K
powershell.exe                8464 Console                    1     72,320 K
cmd.exe                      18040 Console                    1      6,636 K
node.exe                     19156 Console                    1    138,636 K
OpenConsole.exe              14932 Console                    1     12,184 K
powershell.exe               15268 Console                    1     72,496 K
cmd.exe                       7476 Console                    1      6,692 K
node.exe                      8516 Console                    1    146,200 K
OpenConsole.exe              16248 Console                    1     12,232 K
powershell.exe               11292 Console                    1     72,380 K
cmd.exe                      16196 Console                    1      6,704 K
node.exe                     10876 Console                    1    142,296 K
conhost.exe                  10936 Console                    1      7,080 K
bb wn.exe                    16988 Console                    1    155,776 K
bb wn.exe                     8852 Console                    1    101,128 K
bb wn.exe                    14948 Console                    1     52,472 K
bb wn.exe                    13636 Console                    1     91,024 K
bb wn.exe                    18652 Console                    1    312,868 K
OpenConsole.exe               9184 Console                    1     12,028 K
powershell.exe               17476 Console                    1     72,212 K
bb wn.exe                    15604 Console                    1    162,236 K
cmd.exe                      11300 Console                    1      6,520 K
node.exe                     10864 Console                    1    127,824 K
svchost.exe                  22504 Services                   0      9,520 K
bash.exe                     16200 Console                    1      7,420 K
bash.exe                     16004 Console                    1     10,544 K
conhost.exe                  18488 Console                    1      6,956 K
sh.exe                       19408 Console                    1      9,748 K
tail.exe                     16760 Console                    1      5,296 K
node.exe                     21936 Console                    1     53,512 K
WmiPrvSE.exe                 18936 Services                   0     18,480 K
conhost.exe                   2280 Console                    1      7,196 K
bash.exe                     12652 Console                    1      7,608 K
bash.exe                     19808 Console                    1      7,576 K
sh.exe                       20304 Console                    1      9,636 K
node.exe                     12840 Console                    1     86,908 K
cmd.exe                      18764 Console                    1      6,752 K
head.exe                      3016 Console                    1      5,224 K
powershell.exe               20236 Console                    1     93,360 K
bb wn.exe                    21580 Console                    1    157,236 K
bb wn.exe                    16504 Console                    1    104,652 K
bb wn.exe                    19724 Console                    1    107,484 K
bb wn.exe                    10948 Console                    1    107,424 K
svchost.exe                  12284 Services                   0      9,612 K
bb wn.exe                    16952 Console                    1    137,780 K
node.exe                      6312 Console                    1     96,280 K
cmd.exe                       7548 Console                    1      6,660 K
node.exe                     19728 Console                    1     47,748 K
node.exe                     19296 Console                    1    180,252 K
bash.exe                     14980 Console                    1      7,764 K
conhost.exe                  16636 Console                    1      7,312 K
bash.exe                      5232 Console                    1     10,584 K
find.exe                     19264 Console                    1      9,600 K
head.exe                     18876 Console                    1      5,216 K
bash.exe                     18300 Console                    1      7,764 K
conhost.exe                   8352 Console                    1      7,368 K
bash.exe                     17280 Console                    1     10,588 K
bash.exe                     18600 Console                    1      7,888 K
powershell.exe               14448 Console                    1     67,376 K
head.exe                      8832 Console                    1      5,220 K
tasklist.exe                 10468 Console                    1     10,992 K
